"field_name","value","extraction_method"
"carrier_name","Blue Line Freight LLC","llm"
"carrier_phone","+44 161 555 0182","llm"
"carrier_address","12 Freight Way, Manchester, M12 4PP, UK","llm"
"shipment_date","2026-05-12","llm"
"shipment_id_no","SID-4421","llm"
"freight_bill_pro_no","PRO-88210","llm"
"trailer_car_number","TRL-7734-B","llm"
"route","Manchester · Birmingham  (M6/M42)","llm"
"consignee_name","Midlands Retail Distribution","llm"
"consignee_address","45 Logistics Park, Solihull","llm"
"consignee_city","Birmingham","llm"
"consignee_province_postal","B90 4WQ, UK","llm"
"shipper_name","Northside Foods Ltd","llm"
"shipper_address","Unit 7, Trafford Park","llm"
"shipper_city","Manchester","llm"
"shipper_province_postal","M17 1SN, UK","llm"
"sid_no","","llm"
"cod_amount","","llm"
"freight_prepaid_collect","PREPAID","llm"
"total_charges","902.50","llm"
